start,end,verdict
0,240,0
240,480,0
480,720,0
720,960,0
960,1200,0
1200,1440,0
1440,1680,0
1680,1920,0
1920,2160,0
2160,2400,0
2400,2640,0
2640,2880,0
2880,3120,0
3120,3360,0
3360,3600,0
3600,3840,0
3840,4080,0
4080,4320,0
4320,4560,0
4560,4800,0
4800,5040,0
5040,5280,0
5280,5520,0
5520,5760,0
5760,6000,0
6000,6240,0
6240,6480,0
6480,6720,1
6720,6960,0
6960,7200,0
7200,7440,0
7440,7680,0
7680,7920,0
7920,8160,0
8160,8400,0
8400,8640,0
8640,8880,0
8880,9120,0
9120,9360,0
9360,9600,1
9600,9840,0
9840,10080,0
10080,10320,0
10320,10560,0
10560,10800,0
10800,11040,0
11040,11280,0
11280,11520,0
11520,11760,0
11760,12000,0
12000,12240,0
12240,12480,0
12480,12720,1
12720,12960,0
12960,13200,0
13200,13440,0
13440,13680,0
13680,13920,0
13920,14160,0
14160,14400,0
14400,14640,0
14640,14880,0
14880,15120,0
15120,15360,0
15360,15600,0
15600,15840,0
15840,16080,0
16080,16320,0
16320,16560,0
16560,16800,0
16800,17040,0
17040,17280,0
17280,17520,0
17520,17760,0
17760,18000,0
18000,18240,0
18240,18480,0
18480,18720,0
18720,18960,0
18960,19200,0
19200,19440,0
19440,19680,0
19680,19920,0
19920,20160,1
20160,20400,0
20400,20640,0
20640,20880,0
20880,21120,0
21120,21360,0
21360,21600,0
21600,21840,0
21840,22080,0
22080,22320,0
22320,22560,0
22560,22800,0
22800,23040,0
23040,23280,0
23280,23520,0
23520,23760,0
23760,24000,0
24000,24240,0
24240,24480,0
24480,24720,0
24720,24960,0
24960,25200,1
25200,25440,0
25440,25680,0
25680,25920,0
25920,26160,0
26160,26400,0
26400,26640,0
26640,26880,0
26880,27120,0
27120,27360,0
27360,27600,0
27600,27840,0
27840,28080,0
28080,28320,0
28320,28560,0
28560,28800,0
28800,29040,0
29040,29280,0
29280,29520,0
29520,29760,0
29760,30000,0
30000,30240,0
30240,30480,0
30480,30720,0
30720,30960,0
30960,31200,0
31200,31440,0
31440,31680,0
31680,31920,0
31920,32160,1
32160,32400,0
32400,32640,0
32640,32880,0
32880,33120,0
33120,33360,0
33360,33600,0
33600,33840,0
33840,34080,0
34080,34320,0
34320,34560,0
34560,34800,0
34800,35040,0
35040,35280,0
35280,35520,0
35520,35760,0
35760,36000,0
36000,36240,0
36240,36480,0
36480,36720,0
36720,36960,0
36960,37200,0
37200,37440,0
37440,37680,0
37680,37920,0
37920,38160,0
38160,38400,0
38400,38640,0
38640,38880,0
38880,39120,0
39120,39360,0
39360,39600,0
39600,39840,0
39840,40080,0
40080,40320,0
40320,40560,0
40560,40800,0
40800,41040,0
41040,41280,0
41280,41520,0
41520,41760,0
41760,42000,0
42000,42240,0
42240,42480,0
42480,42720,0
42720,42960,0
42960,43200,0
43200,43440,0
43440,43680,0
43680,43920,0
43920,44160,0
44160,44400,0
44400,44640,0
44640,44880,0
44880,45120,0
45120,45360,0
45360,45600,0
45600,45840,0
45840,46080,0
46080,46320,0
46320,46560,0
46560,46800,0
46800,47040,0
47040,47280,0
47280,47520,0
47520,47760,0
47760,48000,0
48000,48240,0
